Function;Loop; N; CUDA Time (ms);Thrust Time (ms);Fast Time (ms);New Time(ms)
1;1;1000000000;1427;1966;22615;1255
1;1;500000000;394;940;825;449
1;1;250000000;212;498;334;176
1;1;125000000;115;236;147;89
1;1;62500000;49;118;71;49
1;1;31250000;25;60;36;24
1;1;15625000;13;30;18;12
1;1;7812500;7;15;9;7
1;1;3906250;4;9;5;3
1;1;1953125;2;4;3;2
1;1;976562;1;2;1;1
1;1;488281;1;1;1;1
1;1;244140;0;1;0;0
1;1;122070;0;0;0;0
2;1;1000000000;1292;1879;18954;956
2;1;500000000;399;938;970;476
2;1;250000000;206;466;338;179
2;1;125000000;114;234;144;93
2;1;62500000;50;117;72;46
2;1;31250000;26;60;35;23
2;1;15625000;13;30;18;12
2;1;7812500;7;15;12;6
2;1;3906250;4;9;8;4
2;1;1953125;1;4;4;2
2;1;976562;1;2;2;2
2;1;488281;1;2;1;1
2;1;244140;1;1;0;1
2;1;122070;0;0;0;0
3;1;1000000000;1338;1895;1339;140710951157787
3;1;500000000;389;931;331;140710951157787
3;1;250000000;218;470;162;140710951157787
3;1;125000000;110;235;82;140710951157787
3;1;62500000;49;117;41;140710951157787
3;1;31250000;25;58;22;140710951157787
3;1;15625000;13;30;11;140710951157787
3;1;7812500;7;16;6;140710951157787
3;1;3906250;4;9;3;140710951157787
3;1;1953125;1;5;2;140710951157787
3;1;976562;1;2;1;140710951157787
3;1;488281;0;2;0;140710951157787
3;1;244140;0;1;0;140710951157787
3;1;122070;0;0;0;140710951157787
1;2;1000000000;1286;1868;23356;954
1;2;500000000;3065;2296;708;551
1;2;250000000;211;472;327;177
1;2;125000000;113;236;146;87
1;2;62500000;49;118;72;46
1;2;31250000;25;59;35;24
1;2;15625000;13;29;18;12
1;2;7812500;7;16;10;7
1;2;3906250;3;9;6;4
1;2;1953125;1;4;3;2
1;2;976562;1;3;2;1
1;2;488281;1;1;1;1
1;2;244140;0;1;0;0
1;2;122070;0;0;0;0
2;2;1000000000;1282;1945;16988;1218
2;2;500000000;405;918;716;516
2;2;250000000;209;462;339;175
2;2;125000000;99;231;144;100
2;2;62500000;51;115;72;46
2;2;31250000;26;58;36;23
2;2;15625000;13;29;18;11
2;2;7812500;7;15;9;7
2;2;3906250;3;9;5;3
2;2;1953125;2;4;3;2
2;2;976562;1;3;1;1
2;2;488281;0;1;1;1
2;2;244140;0;1;0;0
2;2;122070;0;0;0;0
3;2;1000000000;1176;1848;1241;140710951157787
3;2;500000000;387;914;337;140710951157787
3;2;250000000;207;459;161;140710951157787
3;2;125000000;98;231;83;140710951157787
3;2;62500000;49;115;42;140710951157787
3;2;31250000;25;57;21;140710951157787
3;2;15625000;13;29;11;140710951157787
3;2;7812500;7;15;6;140710951157787
3;2;3906250;4;9;3;140710951157787
3;2;1953125;2;5;2;140710951157787
3;2;976562;1;2;1;140710951157787
3;2;488281;1;1;1;140710951157787
3;2;244140;0;1;0;140710951157787
3;2;122070;0;0;0;140710951157787
1;3;1000000000;1303;1830;27657;947
1;3;500000000;408;921;755;534
1;3;250000000;203;460;348;178
1;3;125000000;111;232;144;96
1;3;62500000;50;116;73;47
1;3;31250000;25;58;37;23
1;3;15625000;13;29;18;11
1;3;7812500;8;15;9;6
1;3;3906250;4;10;5;4
1;3;1953125;2;5;3;2
1;3;976562;1;3;1;1
1;3;488281;1;1;1;1
1;3;244140;0;1;0;0
1;3;122070;0;0;0;0
2;3;1000000000;1263;1836;20048;937
2;3;500000000;397;925;816;444
2;3;250000000;216;466;340;176
2;3;125000000;107;232;144;92
2;3;62500000;50;116;72;47
2;3;31250000;27;58;35;23
2;3;15625000;13;29;18;12
2;3;7812500;7;18;9;6
2;3;3906250;4;8;6;3
2;3;1953125;2;5;3;2
2;3;976562;1;2;2;1
2;3;488281;0;1;1;1
2;3;244140;0;1;0;0
2;3;122070;0;0;0;0
3;3;1000000000;1287;1942;1220;140710951157787
3;3;500000000;387;930;331;140710951157787
3;3;250000000;211;465;178;140710951157787
3;3;125000000;99;234;85;140710951157787
3;3;62500000;49;117;42;140710951157787
3;3;31250000;25;58;22;140710951157787
3;3;15625000;13;30;11;140710951157787
3;3;7812500;7;16;6;140710951157787
3;3;3906250;4;7;3;140710951157787
3;3;1953125;1;5;2;140710951157787
3;3;976562;1;2;1;140710951157787
3;3;488281;0;1;1;140710951157787
3;3;244140;0;1;0;140710951157787
3;3;122070;0;0;0;140710951157787
1;4;1000000000;1298;1843;16957;940
1;4;500000000;397;929;825;461
1;4;250000000;210;465;334;175
1;4;125000000;106;234;150;89
1;4;62500000;50;117;71;46
1;4;31250000;26;58;36;23
1;4;15625000;14;30;17;12
1;4;7812500;7;19;9;6
1;4;3906250;4;9;5;3
1;4;1953125;2;5;3;2
1;4;976562;1;3;1;1
1;4;488281;1;1;1;1
1;4;244140;0;1;0;1
1;4;122070;0;0;0;0
2;4;1000000000;1299;1863;19347;944
2;4;500000000;415;996;751;480
2;4;250000000;232;493;344;181
2;4;125000000;103;250;148;101
2;4;62500000;52;118;72;47
2;4;31250000;25;59;35;24
2;4;15625000;14;30;18;11
2;4;7812500;7;17;9;6
2;4;3906250;4;9;5;3
2;4;1953125;1;5;3;2
2;4;976562;1;3;1;1
2;4;488281;1;2;1;1
2;4;244140;0;1;0;0
2;4;122070;0;0;0;0
3;4;1000000000;1098;1861;1898;140710951157787
3;4;500000000;390;928;330;140710951157787
3;4;250000000;208;465;162;140710951157787
3;4;125000000;100;234;82;140710951157787
3;4;62500000;50;117;41;140710951157787
3;4;31250000;25;58;21;140710951157787
3;4;15625000;13;29;11;140710951157787
3;4;7812500;8;15;6;140710951157787
3;4;3906250;3;8;3;140710951157787
3;4;1953125;2;5;1;140710951157787
3;4;976562;1;3;1;140710951157787
3;4;488281;0;1;0;140710951157787
3;4;244140;0;1;0;140710951157787
3;4;122070;0;0;0;140710951157787
1;5;1000000000;1025;1938;22777;1153
1;5;500000000;402;922;1147;480
1;5;250000000;213;488;374;183
1;5;125000000;108;245;154;106
1;5;62500000;52;126;76;46
1;5;31250000;26;63;37;24
1;5;15625000;14;31;19;12
1;5;7812500;7;18;10;6
1;5;3906250;4;9;5;4
1;5;1953125;2;5;3;2
1;5;976562;1;2;1;1
1;5;488281;1;1;1;1
1;5;244140;0;1;0;0
1;5;122070;0;0;0;0
2;5;1000000000;1315;1867;29607;1015
2;5;500000000;410;926;1048;531
2;5;250000000;248;507;347;203
2;5;125000000;111;232;167;90
2;5;62500000;51;117;73;51
2;5;31250000;26;58;36;23
2;5;15625000;13;30;18;12
2;5;7812500;7;18;10;6
2;5;3906250;4;8;5;4
2;5;1953125;1;5;3;2
2;5;976562;1;3;1;1
2;5;488281;1;1;1;1
2;5;244140;0;1;0;0
2;5;122070;0;0;0;0
3;5;1000000000;1258;1848;1316;140710951157787
3;5;500000000;392;921;332;140710951157787
3;5;250000000;211;457;166;140710951157787
3;5;125000000;98;231;85;140710951157787
3;5;62500000;50;115;42;140710951157787
3;5;31250000;25;57;21;140710951157787
3;5;15625000;13;29;11;140710951157787
3;5;7812500;8;15;6;140710951157787
3;5;3906250;4;8;3;140710951157787
3;5;1953125;2;4;2;140710951157787
3;5;976562;1;2;1;140710951157787
3;5;488281;1;1;1;140710951157787
3;5;244140;0;1;1;140710951157787
3;5;122070;0;0;0;140710951157787
1;6;1000000000;1092;1906;20417;1155
1;6;500000000;406;922;1006;416
1;6;250000000;212;460;332;180
1;6;125000000;100;230;146;90
1;6;62500000;50;115;74;45
1;6;31250000;25;57;37;24
1;6;15625000;13;30;18;11
1;6;7812500;7;15;10;6
1;6;3906250;4;9;6;4
1;6;1953125;2;4;3;2
1;6;976562;1;3;1;1
1;6;488281;1;1;1;1
1;6;244140;0;0;0;0
1;6;122070;0;0;0;0
2;6;1000000000;1270;1834;30780;936
2;6;500000000;411;926;981;522
2;6;250000000;221;462;345;201
2;6;125000000;104;232;146;92
2;6;62500000;52;116;75;46
2;6;31250000;26;59;38;23
2;6;15625000;16;29;19;12
2;6;7812500;7;16;9;7
2;6;3906250;4;7;5;3
2;6;1953125;11;4;3;2
2;6;976562;1;2;1;1
2;6;488281;0;1;1;1
2;6;244140;0;0;0;0
2;6;122070;0;0;0;0
3;6;1000000000;1317;1857;1619;140710951157787
3;6;500000000;472;919;335;140710951157787
3;6;250000000;218;458;165;140710951157787
3;6;125000000;99;229;83;140710951157787
3;6;62500000;51;115;42;140710951157787
3;6;31250000;26;58;21;140710951157787
3;6;15625000;13;30;11;140710951157787
3;6;7812500;7;15;6;140710951157787
3;6;3906250;4;9;3;140710951157787
3;6;1953125;2;5;2;140710951157787
3;6;976562;1;2;1;140710951157787
3;6;488281;1;1;0;140710951157787
3;6;244140;0;1;0;140710951157787
3;6;122070;0;2;0;140710951157787
1;7;1000000000;1246;1905;23027;1268
1;7;500000000;509;928;912;426
1;7;250000000;210;460;335;178
1;7;125000000;100;232;145;89
1;7;62500000;50;117;72;46
1;7;31250000;25;59;36;24
1;7;15625000;13;30;18;11
1;7;7812500;8;17;10;6
1;7;3906250;4;9;5;4
1;7;1953125;1;5;3;2
1;7;976562;1;3;1;1
1;7;488281;1;1;1;1
1;7;244140;0;1;0;0
1;7;122070;0;0;0;0
2;7;1000000000;1335;1838;25852;977
2;7;500000000;412;929;813;514
2;7;250000000;218;491;345;178
2;7;125000000;117;234;157;90
2;7;62500000;50;117;73;47
2;7;31250000;27;59;37;24
2;7;15625000;13;30;18;12
2;7;7812500;7;16;10;6
2;7;3906250;3;9;5;3
2;7;1953125;1;5;3;2
2;7;976562;1;3;1;1
2;7;488281;0;2;1;1
2;7;244140;0;1;0;1
2;7;122070;0;1;0;0
3;7;1000000000;1380;1857;1392;140710951157787
3;7;500000000;396;922;339;140710951157787
3;7;250000000;219;467;163;140710951157787
3;7;125000000;98;232;84;140710951157787
3;7;62500000;51;115;42;140710951157787
3;7;31250000;25;58;21;140710951157787
3;7;15625000;13;29;11;140710951157787
3;7;7812500;7;15;6;140710951157787
3;7;3906250;4;9;4;140710951157787
3;7;1953125;2;4;2;140710951157787
3;7;976562;1;3;1;140710951157787
3;7;488281;0;2;1;140710951157787
3;7;244140;0;1;0;140710951157787
3;7;122070;0;0;0;140710951157787
1;8;1000000000;1611;1912;18786;1003
1;8;500000000;398;937;800;498
1;8;250000000;228;486;334;178
1;8;125000000;106;232;143;91
1;8;62500000;50;117;72;47
1;8;31250000;25;58;36;24
1;8;15625000;14;30;18;11
1;8;7812500;7;16;9;7
1;8;3906250;3;9;5;3
1;8;1953125;2;4;3;2
1;8;976562;1;2;2;1
1;8;488281;0;1;1;1
1;8;244140;0;1;0;0
1;8;122070;0;0;0;0
2;8;1000000000;1249;1838;15293;956
2;8;500000000;419;951;810;456
2;8;250000000;212;465;343;182
2;8;125000000;108;233;157;92
2;8;62500000;50;116;74;44
2;8;31250000;27;58;36;24
2;8;15625000;13;30;18;12
2;8;7812500;7;17;10;6
2;8;3906250;4;10;5;3
2;8;1953125;2;5;3;2
2;8;976562;1;3;2;1
2;8;488281;0;2;1;1
2;8;244140;0;1;0;0
2;8;122070;0;0;0;0
3;8;1000000000;1344;1854;1396;140710951157787
3;8;500000000;405;919;336;140710951157787
3;8;250000000;198;459;165;140710951157787
3;8;125000000;111;233;89;140710951157787
3;8;62500000;51;116;42;140710951157787
3;8;31250000;26;63;22;140710951157787
3;8;15625000;15;32;12;140710951157787
3;8;7812500;8;16;6;140710951157787
3;8;3906250;4;9;3;140710951157787
3;8;1953125;2;4;1;140710951157787
3;8;976562;1;2;1;140710951157787
3;8;488281;1;1;1;140710951157787
3;8;244140;0;1;0;140710951157787
3;8;122070;0;0;0;140710951157787
1;9;1000000000;1501;1939;22784;1161
1;9;500000000;408;928;1074;471
1;9;250000000;200;461;356;183
1;9;125000000;107;231;171;89
1;9;62500000;54;116;72;46
1;9;31250000;26;58;36;23
1;9;15625000;13;29;18;11
1;9;7812500;7;15;9;6
1;9;3906250;3;7;5;3
1;9;1953125;2;4;3;2
1;9;976562;1;2;1;1
1;9;488281;1;2;1;1
1;9;244140;0;1;0;0
1;9;122070;0;0;0;0
2;9;1000000000;1247;1916;21928;1291
2;9;500000000;408;926;1066;470
2;9;250000000;276;463;332;213
2;9;125000000;105;231;166;91
2;9;62500000;51;117;74;50
2;9;31250000;25;59;36;23
2;9;15625000;13;29;19;11
2;9;7812500;6;16;9;6
2;9;3906250;4;8;5;3
2;9;1953125;2;4;3;2
2;9;976562;1;2;2;1
2;9;488281;1;2;1;1
2;9;244140;0;1;0;0
2;9;122070;0;0;0;0
3;9;1000000000;1347;1865;2138;140710951157787
3;9;500000000;407;917;333;140710951157787
3;9;250000000;197;461;167;140710951157787
3;9;125000000;107;232;87;140710951157787
3;9;62500000;50;115;42;140710951157787
3;9;31250000;25;58;21;140710951157787
3;9;15625000;13;29;11;140710951157787
3;9;7812500;7;17;6;140710951157787
3;9;3906250;3;8;3;140710951157787
3;9;1953125;2;4;2;140710951157787
3;9;976562;1;3;1;140710951157787
3;9;488281;0;1;0;140710951157787
3;9;244140;0;1;0;140710951157787
3;9;122070;0;0;0;140710951157787
1;10;1000000000;1269;1831;18872;1055
1;10;500000000;401;932;838;503
1;10;250000000;212;461;339;182
1;10;125000000;115;229;147;91
1;10;62500000;50;117;72;46
1;10;31250000;25;59;36;23
1;10;15625000;14;30;18;12
1;10;7812500;7;17;10;6
1;10;3906250;4;9;5;3
1;10;1953125;2;4;3;2
1;10;976562;1;2;2;1
1;10;488281;1;1;1;1
1;10;244140;0;1;1;1
1;10;122070;0;0;0;0
2;10;1000000000;1313;1847;15313;981
2;10;500000000;456;998;724;469
2;10;250000000;211;464;331;177
2;10;125000000;101;232;146;92
2;10;62500000;51;118;73;48
2;10;31250000;25;59;36;24
2;10;15625000;14;29;18;12
2;10;7812500;7;18;9;6
2;10;3906250;4;9;5;3
2;10;1953125;2;5;3;2
2;10;976562;1;3;2;1
2;10;488281;0;2;1;1
2;10;244140;0;1;1;0
2;10;122070;0;1;0;0
3;10;1000000000;1262;1865;1231;140710951157787
3;10;500000000;446;924;348;140710951157787
3;10;250000000;198;462;172;140710951157787
3;10;125000000;98;231;83;140710951157787
3;10;62500000;53;115;42;140710951157787
3;10;31250000;25;58;21;140710951157787
3;10;15625000;13;29;11;140710951157787
3;10;7812500;7;15;6;140710951157787
3;10;3906250;4;9;3;140710951157787
3;10;1953125;2;5;2;140710951157787
3;10;976562;1;2;1;140710951157787
3;10;488281;1;2;1;140710951157787
3;10;244140;0;1;0;140710951157787
3;10;122070;0;0;0;140710951157787
