Function;Loop; N; CUDA Time (ms);Thrust Time (ms)
1;1;1000000000;1824;2645
1;1;100000000;78;336
1;1;10000000;8;26
1;1;1000000;1;3
1;1;100000;0;0
1;1;10000;0;0
2;1;1000000000;1552;2600
2;1;100000000;86;346
2;1;10000000;8;26
2;1;1000000;1;3
2;1;100000;0;1
2;1;10000;0;0
3;1;1000000000;1220;2701
3;1;100000000;84;365
3;1;10000000;9;25
3;1;1000000;1;3
3;1;100000;0;1
3;1;10000;0;0
4;1;1000000000;1136;2652
4;1;100000000;86;333
4;1;10000000;8;26
4;1;1000000;1;3
4;1;100000;0;1
4;1;10000;0;0
5;2;1000000000;1228;2596
5;2;100000000;77;353
5;2;10000000;8;26
5;2;1000000;1;3
5;2;100000;0;0
5;2;10000;0;0
6;2;1000000000;1520;2645
6;2;100000000;87;392
6;2;10000000;8;25
6;2;1000000;1;3
6;2;100000;0;1
6;2;10000;0;0
7;2;1000000000;1291;2556
7;2;100000000;84;354
7;2;10000000;9;25
7;2;1000000;1;3
7;2;100000;0;0
7;2;10000;0;0
8;2;1000000000;1124;2468
8;2;100000000;86;258
8;2;10000000;8;25
8;2;1000000;1;3
8;2;100000;0;1
8;2;10000;0;0
5;3;1000000000;1310;2495
5;3;100000000;79;358
5;3;10000000;9;25
5;3;1000000;1;3
5;3;100000;0;1
5;3;10000;0;0
6;3;1000000000;1157;2477
6;3;100000000;85;257
6;3;10000000;8;24
6;3;1000000;1;3
6;3;100000;0;1
6;3;10000;0;0
7;3;1000000000;1297;2516
7;3;100000000;83;344
7;3;10000000;9;24
7;3;1000000;1;3
7;3;100000;0;0
7;3;10000;0;0
8;3;1000000000;1491;2453
8;3;100000000;81;308
8;3;10000000;8;24
8;3;1000000;1;3
8;3;100000;0;1
8;3;10000;0;0
5;4;1000000000;1238;2497
5;4;100000000;78;353
5;4;10000000;8;24
5;4;1000000;1;3
5;4;100000;0;0
5;4;10000;0;0
6;4;1000000000;1169;2502
6;4;100000000;85;256
6;4;10000000;8;25
6;4;1000000;1;3
6;4;100000;0;1
6;4;10000;0;0
7;4;1000000000;1353;2514
7;4;100000000;78;346
7;4;10000000;8;24
7;4;1000000;1;3
7;4;100000;0;1
7;4;10000;0;0
8;4;1000000000;1250;2465
8;4;100000000;81;244
8;4;10000000;8;25
8;4;1000000;1;3
8;4;100000;0;1
8;4;10000;0;0
5;5;1000000000;1226;2509
5;5;100000000;77;356
5;5;10000000;8;24
5;5;1000000;1;3
5;5;100000;0;0
5;5;10000;0;0
6;5;1000000000;1361;2494
6;5;100000000;84;299
6;5;10000000;8;26
6;5;1000000;1;3
6;5;100000;0;1
6;5;10000;0;0
7;5;1000000000;1282;2656
7;5;100000000;78;365
7;5;10000000;8;26
7;5;1000000;1;3
7;5;100000;0;0
7;5;10000;0;0
8;5;1000000000;1206;2632
8;5;100000000;78;260
8;5;10000000;8;26
8;5;1000000;1;3
8;5;100000;0;1
8;5;10000;0;0
5;6;1000000000;1323;2719
5;6;100000000;79;431
5;6;10000000;8;26
5;6;1000000;1;3
5;6;100000;0;0
5;6;10000;0;0
6;6;1000000000;1322;2700
6;6;100000000;77;257
6;6;10000000;8;26
6;6;1000000;1;3
6;6;100000;0;1
6;6;10000;0;0
7;6;1000000000;1275;2642
7;6;100000000;83;452
7;6;10000000;9;26
7;6;1000000;1;3
7;6;100000;0;0
7;6;10000;0;0
8;6;1000000000;1403;2680
8;6;100000000;78;303
8;6;10000000;9;25
8;6;1000000;1;3
8;6;100000;0;1
8;6;10000;0;0
5;7;1000000000;1273;2635
5;7;100000000;78;406
5;7;10000000;8;26
5;7;1000000;1;3
5;7;100000;0;0
5;7;10000;0;0
6;7;1000000000;1155;2630
6;7;100000000;81;252
6;7;10000000;8;26
6;7;1000000;1;3
6;7;100000;0;1
6;7;10000;0;0
7;7;1000000000;1304;2550
7;7;100000000;84;453
7;7;10000000;8;25
7;7;1000000;1;3
7;7;100000;0;0
7;7;10000;0;0
8;7;1000000000;1156;2662
8;7;100000000;83;257
8;7;10000000;8;27
8;7;1000000;1;3
8;7;100000;0;1
8;7;10000;0;0
5;8;1000000000;1202;2611
5;8;100000000;78;348
5;8;10000000;8;26
5;8;1000000;1;3
5;8;100000;0;1
5;8;10000;0;0
6;8;1000000000;1395;2647
6;8;100000000;82;297
6;8;10000000;8;27
6;8;1000000;1;3
6;8;100000;0;1
6;8;10000;0;0
7;8;1000000000;1293;2669
7;8;100000000;84;321
7;8;10000000;8;25
7;8;1000000;1;3
7;8;100000;0;0
7;8;10000;0;0
8;8;1000000000;1195;2664
8;8;100000000;78;257
8;8;10000000;8;26
8;8;1000000;1;3
8;8;100000;0;1
8;8;10000;0;0
5;9;1000000000;1315;2646
5;9;100000000;78;364
5;9;10000000;8;25
5;9;1000000;1;3
5;9;100000;0;0
5;9;10000;0;0
6;9;1000000000;1193;2643
6;9;100000000;77;257
6;9;10000000;8;26
6;9;1000000;1;3
6;9;100000;0;1
6;9;10000;0;0
7;9;1000000000;1219;2622
7;9;100000000;78;357
7;9;10000000;8;26
7;9;1000000;1;3
7;9;100000;0;0
7;9;10000;0;0
8;9;1000000000;1377;2613
8;9;100000000;93;296
8;9;10000000;9;26
8;9;1000000;1;3
8;9;100000;0;1
8;9;10000;0;0
5;10;1000000000;1236;2612
5;10;100000000;78;332
5;10;10000000;8;25
5;10;1000000;1;3
5;10;100000;0;1
5;10;10000;0;0
6;10;1000000000;1237;2667
6;10;100000000;79;254
6;10;10000000;8;26
6;10;1000000;1;3
6;10;100000;0;1
6;10;10000;0;0
7;10;1000000000;1207;2642
7;10;100000000;78;387
7;10;10000000;8;25
7;10;1000000;1;3
7;10;100000;0;0
7;10;10000;0;1
8;10;1000000000;1136;2588
8;10;100000000;81;258
8;10;10000000;8;26
8;10;1000000;1;3
8;10;100000;0;1
8;10;10000;0;0
